ID,Location,Specific Location,Amenities,Bedroom,Bathroom,Toilet,New,Duplex,Lux,Estate,rank,Price
1281,lekki,ikota villa ikota lekki lagos,8,4,4,4,1,1,1,1,7,4000000
1282,lekki,lekki phase 1 lekki lagos,8,4,4,4,1,0,0,1,7,3000000
1283,lekki,chevron lekki lagos,7,3,4,3,1,1,1,1,7,3000000
1284,lekki,osapa london lekki lagos,11,6,5,6,0,0,0,0,10,4700000
1285,lekki,off admiralty way lekki phase 1 lekki lagos,7,4,3,4,0,0,0,1,7,2800000
1286,lekki,off admiralty way lekki phase 1 lekki lagos,5,3,2,3,1,1,0,1,7,2500000
1287,lekki,off admiralty way lekki phase 1 lekki lagos,5,3,2,3,1,1,1,1,7,3000000
1288,lekki,ikate estate ikate lekki lagos,5,3,2,3,0,0,0,1,7,2000000
1289,lekki,off admiralty way lekki phase 1 lekki lagos,5,3,2,3,1,1,0,1,7,2500000
1290,lekki,denco court ikate lekki lagos,9,5,4,5,0,0,0,1,9,3500000
1291,lekki,alternative route chevron lekki lagos,11,6,5,6,0,0,0,0,10,4700000
1292,lekki,lekki phase 1 lekki lagos,6,3,3,3,1,1,0,1,7,2500000
1293,lekki,agungi lekki lagos,6,3,3,3,0,0,0,0,7,1800000
1294,lekki,.. jakande lekki lagos,4,2,2,2,1,1,1,1,6,2000000
1295,lekki,lekki phase 1 lekki lagos,6,3,3,3,1,1,0,1,7,2500000
1296,lekki,lekki right lekki phase 1 lekki lagos,7,4,3,4,1,1,1,1,7,3500000
1297,lekki,kajola eleranigbe ibeju lekki lagos,7,4,3,4,0,0,0,0,7,2000000
1298,lekki,ikate ikate lekki lagos,7,4,3,4,1,1,1,1,7,3800000
1299,lekki," milverton estate, lekki lekki lagos",6,3,3,3,1,1,0,1,7,2500000
1300,lekki,chevy view chevron lekki lagos,7,4,3,4,0,0,0,1,7,2500000
1301,lekki,off freedom way ikate lekki lagos,5,3,2,3,0,0,0,1,7,2300000
1302,lekki,agungi agungi lekki lagos,5,3,2,3,0,0,0,1,7,2300000
1303,lekki,ikota lekki lagos,9,5,4,5,0,0,0,1,9,3500000
1304,lekki,ikota lekki lagos,2,1,1,1,0,0,0,1,4,800000
1305,lekki,osapa london lekki lagos,6,3,3,3,0,0,0,0,7,1700000
1306,lekki," orchid road,chevron tollgate chevron lekki lagos",2,1,1,1,0,0,0,0,4,500000
1307,lekki,gbetu road awoyaya off lekki epe expressway ajah lagos,12,6,6,6,0,0,0,0,10,4700000
1308,lekki,"tom ogboi street, itedo estate lekki phase 1 lekki lagos",3,2,1,2,0,0,0,1,6,1600000
